ProxyAddress,implementations,version,Proxy-Type,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,Human Readable Age
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xd08dba3523478d49ab7fe67f8e23464192338186,6,EIP_1967_LOGIC_SLOT.csv,1601314701,9/28/20 17:38,1601314701,9/28/20 17:38,1,1107671,FALSE,12.0 days 1181.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x189a7ba2e30bff940d3b589b89e6a5d190293d00,7,EIP_1967_LOGIC_SLOT.csv,1602422372,10/11/20 13:19,1602422372,10/11/20 13:19,1,907933,FALSE,10.0 days 732.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xb1a74bbcb7d672ee8c6a7e79ef9ffd94d44c3832,8,EIP_1967_LOGIC_SLOT.csv,1603330305,10/22/20 1:31,1603330305,10/22/20 1:31,1,4342,FALSE,72.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xeeafe6e52ee39afa67f931074b866ef67c3999cb,9,EIP_1967_LOGIC_SLOT.csv,1603334647,10/22/20 2:44,1603334647,10/22/20 2:44,1,602,FALSE,10.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xb97806fce1d861911ff5a7d337fe720d265fe24b,10,EIP_1967_LOGIC_SLOT.csv,1603335249,10/22/20 2:54,1603335249,10/22/20 2:54,1,44674,FALSE,744.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x577f0f996f59ea1f39b0349c2cd4104cc5cbdf36,11,EIP_1967_LOGIC_SLOT.csv,1603379923,10/22/20 15:18,1603379923,10/22/20 15:18,1,126011,FALSE,1.0 days 660.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xac3d06a47429a85c7a9a2505d3104cb2b6793b3f,12,EIP_1967_LOGIC_SLOT.csv,1603505934,10/24/20 2:18,1603505934,10/24/20 2:18,1,68637,FALSE,1143.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x574f845ec7c6c926f5f81846eca4c8885f284cc7,13,EIP_1967_LOGIC_SLOT.csv,1603574571,10/24/20 21:22,1603574571,10/24/20 21:22,1,206426,FALSE,2.0 days 560.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x1d1fc89bb5f211e76af6d71d0dfc55002ae96939,14,EIP_1967_LOGIC_SLOT.csv,1603780997,10/27/20 6:43,1603780997,10/27/20 6:43,1,196826,FALSE,2.0 days 400.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xa8b1c09e2595044f052f3696de97c3906be2ae9e,15,EIP_1967_LOGIC_SLOT.csv,1603977823,10/29/20 13:23,1603977823,10/29/20 13:23,1,719096,FALSE,8.0 days 464.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x8add0884a8066fef08e8e06af4d1cb44fef2451e,16,EIP_1967_LOGIC_SLOT.csv,1604696919,11/6/20 21:08,1604696919,11/6/20 21:08,1,75574,FALSE,1259.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x676aa8fd98a0137d141ae23c74de4c6cebb10457,17,EIP_1967_LOGIC_SLOT.csv,1604772493,11/7/20 18:08,1604772493,11/7/20 18:08,1,276028,FALSE,3.0 days 280.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x5a87d0b72993fc6959dbcb2e7b3ae1ab4a0f769d,18,EIP_1967_LOGIC_SLOT.csv,1605048521,11/10/20 22:48,1605048521,11/10/20 22:48,1,620633,FALSE,7.0 days 263.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xe3a45e9bc984ef6a1c04c7d9b8ae94bd46b35b53,19,EIP_1967_LOGIC_SLOT.csv,1605669154,11/18/20 3:12,1605669154,11/18/20 3:12,1,53441,FALSE,890.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x389953ce33cda55e935763cfb941a2dfffb32bd2,20,EIP_1967_LOGIC_SLOT.csv,1605722595,11/18/20 18:03,1605722595,11/18/20 18:03,1,17864,FALSE,297.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xaf5d77fdbe3a13b85768f2787a08a525f3591eba,21,EIP_1967_LOGIC_SLOT.csv,1605740459,11/18/20 23:00,1605740459,11/18/20 23:00,1,264,FALSE,4.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x7827566444210aea4e10e24c08d171dc98f4183a,22,EIP_1967_LOGIC_SLOT.csv,1605740723,11/18/20 23:05,1605740723,11/18/20 23:05,1,474,FALSE,7.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xe5e7782a115c97523143beaf98711038640bb9a1,23,EIP_1967_LOGIC_SLOT.csv,1605741197,11/18/20 23:13,1605741197,11/18/20 23:13,1,4181,FALSE,69.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xf8729e2e35ed33c51c8383203ea9efd2a242c04e,24,EIP_1967_LOGIC_SLOT.csv,1605745378,11/19/20 0:22,1605745378,11/19/20 0:22,1,62549,FALSE,1042.0 minutes
