Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x994d61fc334c6c981c4088ef7823cd4b3834676b,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0xa330c6363c817e9f3389bc2e4fc9f6dde0b16de5,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x7c4feaa7b898e95a6e26430ab474d7a5c3967269,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x87853a0b58f2c36feaf0f9183953d9319e598c16,EIP-1967: Proxy Beacon Storage Slots,2021,AdminChanged,"previousAdmin: address, newAdmin: address"
0x87853a0b58f2c36feaf0f9183953d9319e598c16,EIP-1967: Proxy Beacon Storage Slots,2021,BeaconUpgraded,beacon: address
0x87853a0b58f2c36feaf0f9183953d9319e598c16,EIP-1967: Proxy Beacon Storage Slots,2021,Upgraded,implementation: address
0x485d4489ce7d6c33368c010853cc3d1f3125f80a,EIP-1967: Proxy Beacon Storage Slots,2021,AdminChanged,"previousAdmin: address, newAdmin: address"
0x485d4489ce7d6c33368c010853cc3d1f3125f80a,EIP-1967: Proxy Beacon Storage Slots,2021,BeaconUpgraded,beacon: address
0x485d4489ce7d6c33368c010853cc3d1f3125f80a,EIP-1967: Proxy Beacon Storage Slots,2021,Upgraded,implementation: address
0x7f903de55333c233a022eadb8f344fd69c2d26b2,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x20d61adaf88fb0e117aff4205e69f4a0ff837490,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0xbc8854c8664489f8fcff3e46abcce85d0ad362e4,EIP-1967: Proxy Beacon Storage Slots,2021,AdminChanged,"previousAdmin: address, newAdmin: address"
0xbc8854c8664489f8fcff3e46abcce85d0ad362e4,EIP-1967: Proxy Beacon Storage Slots,2021,BeaconUpgraded,beacon: address
0xbc8854c8664489f8fcff3e46abcce85d0ad362e4,EIP-1967: Proxy Beacon Storage Slots,2021,Upgraded,implementation: address
0xea0f9d5f5c2fc5dd39722d536562cad3e89a8666,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x9df76880cd48a0667ade91886299f8e6dbed22ff,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x9df76880cd48a0667ade91886299f8e6dbed22ff,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0x1ef4dc67d60f839f906e5707eba8004e5ce8cf08,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x1ef4dc67d60f839f906e5707eba8004e5ce8cf08,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0xf442cf4d220cc04e32dcfdb04d9a45da4ee8e666,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0xf442cf4d220cc04e32dcfdb04d9a45da4ee8e666,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
